"","Mean_coeff","frequency","variable_name","unique_q_number","max_freq"
"1",-1.06884832093725,1,1,"zone1",1
"2",-0.343829856286326,1,1,"zone3",1
"3",-1.02423775530664,1,1,"zone4",1
"4",-1.92402904742972,1,1,"zone5",1
"5",-2.75891500824035,1,1,"zone6",1
"6",-0.311295608163352,1,2,"hhsize1",1
"7",0,0,2,"hhsize2",1
"8",-0.0323261591083568,0.35,3,"hhead_literacy1",0.35
"9",-0.00154333385726924,0.02,4,"hhead_attend1",0.02
"10",0.000944688076651607,0.02,5,"hhead_max_ed0",0.02
"11",0,0,5,"hhead_max_ed1",0.02
"12",-0.00144756028610174,0.02,5,"hhead_max_ed2",0.02
"13",0,0,6,"hh_max_ed0",0.24
"14",0,0,6,"hh_max_ed1",0.24
"15",-0.0129853729555499,0.24,6,"hh_max_ed2",0.24
"16",0,0,7,"consumed100",0
"17",-0.000978295221183388,0.02,8,"consumed0110",0.02
"18",0,0,9,"consumed160",0
"19",0,0,10,"consumed171",0
"20",0,0,11,"consumed181",0
"21",-0.2585487872459,0.96,12,"consumed251",0.96
"22",0,0,13,"consumed271",0
"23",0,0,14,"consumed281",0
"24",-0.000141443499925379,0.01,15,"consumed301",0.01
"25",-0.00953487480560962,0.19,16,"consumed311",0.19
"26",0,0,17,"consumed341",0
"27",-0.000393256773943085,0.01,18,"consumed351",0.01
"28",0,0,19,"consumed360",0
"29",0,0,20,"consumed461",0
"30",0,0,21,"consumed470",0
"31",-0.0196277264673562,0.26,22,"consumed521",0.26
"32",-0.0163999738642398,0.18,23,"consumed601",0.18
"33",-0.034222397385703,0.32,24,"consumed611",0.32
"34",0,0,25,"consumed621",0
"35",-0.000600656592663849,0.01,26,"consumed641",0.01
"36",-0.000299026772161137,0.01,27,"consumed671",0.01
"37",-0.0137433261000831,0.24,28,"consumed681",0.24
"38",-0.011202319177111,0.17,29,"consumed701",0.17
"39",-0.000554011547327858,0.01,30,"consumed711",0.01
"40",0,0,31,"consumed731",0
"41",-4.11863275904931e-05,0.01,32,"consumed781",0.01
"42",-0.0025079606926763,0.09,33,"consumed801",0.09
"43",-0.0622936489352355,0.59,34,"consumed831",0.59
"44",-0.0272081278105525,0.27,35,"consumed901",0.27
"45",0,0,36,"consumed931",0
"46",0,0,37,"consumed1051",0
"47",-0.0977981465060917,0.73,38,"consumed1111",0.73
"48",-0.00092350149372561,0.03,39,"consumed1131",0.03
"49",-0.0341635925082204,0.29,40,"consumed1211",0.29
"50",-2.17456032047703e-05,0.01,41,"consumed1221",0.01
"51",0,0,42,"consumed1300",0
"52",0,0,43,"consumed1421",0
"53",0,0,44,"consumed1441",0
"54",0,0,45,"consumed1451",0
"55",0,0,46,"consumed1471",0
"56",-0.133449039142368,0.83,47,"consumed1511",0.83
"57",-0.00494626302143487,0.1,48,"consumed1521",0.1
"58",-0.000328908487980591,0.02,49,"consumed1531",0.02
"59",-0.000976720166199653,0.02,50,"consumed13_141",0.02
"60",0,0,51,"consumed20_221",0
"61",0,0,52,"consumed32_331",0
"62",-0.0010834419903242,0.01,53,"consumed41_421",0.01
"63",0,0,54,"consumed43_441",0
"64",0,0,55,"consumed74_750",0
"65",-0.00113019705451412,0.03,56,"consumed76_771",0.03
"66",-0.00135193317157523,0.01,57,"consumed100_1031",0.01
"67",0,0,58,"purchased2011",0
"68",0,0,59,"purchased2031",0
"69",-0.0297047790941583,0.32,60,"purchased2051",0.32
"70",0,0,61,"purchased2070",0
"71",-0.00189604695657085,0.04,62,"purchased2091",0.04
"72",0,0,63,"purchased2121",0
"73",-0.000243180179442749,0.01,64,"purchased2131",0.01
"74",-0.00273751762346257,0.05,65,"purchased2161",0.05
"75",0,0,66,"purchased2340",0
"76",0,0,67,"spent3021",0
"77",0,0,68,"spent3151",0
"78",0,0,69,"spent3281",0
"79",0,0,70,"spent3291",0
"80",-0.00460104874366371,0.12,71,"spent3301",0.12
"81",0,0,72,"spent3371",0
"82",0,0,73,"spent3381",0
"83",-0.0010880391411055,0.02,74,"spent3431",0.02
"84",0,0,75,"spent3441",0
"85",0,0,76,"spent3451",0
"86",0,0,77,"spent3461",0
"87",-0.000262504311740476,0.02,78,"spent3501",0.02
"88",0,0,79,"spent3561",0
"89",0,0,80,"spent301_3100",0
"90",0,0,81,"spent322_3251",0
"91",-0.0426519414081216,0.35,82,"asset3011",0.35
"92",0,0,83,"asset3021",0
"93",-0.00574620822691366,0.05,84,"asset3031",0.05
"94",0,0,85,"asset3050",0
"95",0,0,86,"asset3060",0
"96",0,0,87,"asset3111",0
"97",-0.00308180396349625,0.11,88,"asset3121",0.11
"98",0,0,89,"asset3181",0
"99",-0.0071929305772369,0.08,90,"asset3201",0.08
"100",-0.148617040823891,0.82,91,"asset3211",0.82
"101",-0.0732970227983558,0.54,92,"asset3261",0.54
"102",-0.00293220757678308,0.06,93,"asset3301",0.06
"103",-0.0268211437641705,0.27,94,"hh_walls1",0.27
"104",0,0,95,"hh_roof1",0
"105",0,0,95,"hh_roof2",0
