unique_q_number,variable_name
1,zone1
1,zone3
1,zone4
1,zone5
1,zone6
2,hhsize1
2,hhsize2
3,hhead_literacy1
4,hhead_attend1
5,hhead_max_ed0
5,hhead_max_ed1
5,hhead_max_ed2
6,hh_max_ed0
6,hh_max_ed1
6,hh_max_ed2
7,consumed100
8,consumed0110
9,consumed160
10,consumed171
11,consumed181
12,consumed251
13,consumed271
14,consumed281
15,consumed301
16,consumed311
17,consumed341
18,consumed351
19,consumed360
20,consumed461
21,consumed470
22,consumed521
23,consumed601
24,consumed611
25,consumed621
26,consumed641
27,consumed671
28,consumed681
29,consumed701
30,consumed711
31,consumed731
32,consumed781
33,consumed801
34,consumed831
35,consumed901
36,consumed931
37,consumed1051
38,consumed1111
39,consumed1131
40,consumed1211
41,consumed1221
42,consumed1300
43,consumed1421
44,consumed1441
45,consumed1451
46,consumed1471
47,consumed1511
48,consumed1521
49,consumed1531
50,consumed13_141
51,consumed20_221
52,consumed32_331
53,consumed41_421
54,consumed43_441
55,consumed74_750
56,consumed76_771
57,consumed100_1031
58,purchased2011
59,purchased2031
60,purchased2051
61,purchased2070
62,purchased2091
63,purchased2121
64,purchased2131
65,purchased2161
66,purchased2340
67,spent3021
68,spent3151
69,spent3281
70,spent3291
71,spent3301
72,spent3371
73,spent3381
74,spent3431
75,spent3441
76,spent3451
77,spent3461
78,spent3501
79,spent3561
80,spent301_3100
81,spent322_3251
82,asset3011
83,asset3021
84,asset3031
85,asset3050
86,asset3060
87,asset3111
88,asset3121
89,asset3181
90,asset3201
91,asset3211
92,asset3261
93,asset3301
94,hh_walls1
95,hh_roof1
95,hh_roof2
96,hh_floor1
96,hh_floor2
97,hh_cookstove1
98,hh_drinkrainy1
98,hh_drinkrainy2
99,hh_toilet1
99,hh_toilet2
100,hh_refuse1
101,ag_work0
102,ag_hold_plot0
103,ag_own_land0
104,ag_livestock0
105,po_grid1
106,po_elect1
106,po_elect2
107,wa_piped0
107,wa_piped1
108,any_wage1
109,any_ownagri0
110,any_nfe1
