unique_q_number,variable_name
1,hhsize1
1,hhsize2
2,hhead_literacy1
3,hhead_attend1
4,hhead_max_ed0
4,hhead_max_ed1
4,hhead_max_ed2
5,hh_max_ed0
5,hh_max_ed1
5,hh_max_ed2
6,consumed100
7,consumed0110
8,consumed160
9,consumed171
10,consumed181
11,consumed251
12,consumed271
13,consumed281
14,consumed301
15,consumed311
16,consumed341
17,consumed351
18,consumed360
19,consumed461
20,consumed470
21,consumed521
22,consumed601
23,consumed611
24,consumed621
25,consumed641
26,consumed671
27,consumed681
28,consumed701
29,consumed711
30,consumed731
31,consumed781
32,consumed801
33,consumed831
34,consumed901
35,consumed931
36,consumed1051
37,consumed1111
38,consumed1131
39,consumed1211
40,consumed1221
41,consumed1300
42,consumed1421
43,consumed1441
44,consumed1451
45,consumed1471
46,consumed1511
47,consumed1521
48,consumed1531
49,consumed13_141
50,consumed20_221
51,consumed32_331
52,consumed41_421
53,consumed43_441
54,consumed74_750
55,consumed76_771
56,consumed100_1031
57,purchased2011
58,purchased2031
59,purchased2051
60,purchased2070
61,purchased2091
62,purchased2121
63,purchased2131
64,purchased2161
65,purchased2340
66,spent3021
67,spent3151
68,spent3281
69,spent3291
70,spent3301
71,spent3371
72,spent3381
73,spent3431
74,spent3441
75,spent3451
76,spent3461
77,spent3501
78,spent3561
79,spent301_3100
80,spent322_3250
81,buy2011
82,buy2031
83,buy2051
84,buy2070
85,buy2091
86,buy2121
87,buy2131
88,buy2161
89,buy2171
90,buy2191
91,buy2251
92,buy2340
93,asset3010
93,asset3011
94,asset3020
94,asset3021
95,asset3031
96,asset3050
97,asset3060
98,asset3111
99,asset3121
100,asset3181
101,asset3201
102,asset3211
103,asset3261
104,asset3301
105,hh_walls1
106,hh_roof1
106,hh_roof2
107,hh_floor1
107,hh_floor2
108,hh_cookstove1
109,hh_drinkrainy1
109,hh_drinkrainy2
110,hh_toilet1
110,hh_toilet2
111,hh_refuse1
112,ag_work0
113,ag_hold_plot0
114,ag_own_land0
115,ag_livestock0
116,po_grid1
117,po_elect1
117,po_elect2
118,wa_piped1
118,wa_piped2
