unique_q_number,variable_name
1,hhsize1
1,hhsize2
2,hhead_literacy1
3,hhead_attend1
4,hhead_max_ed0
4,hhead_max_ed1
4,hhead_max_ed2
5,hh_max_ed0
5,hh_max_ed1
5,hh_max_ed2
6,consumed100
7,consumed0110
8,consumed160
9,consumed171
10,consumed181
11,consumed251
12,consumed271
13,consumed281
14,consumed301
15,consumed311
16,consumed341
17,consumed351
18,consumed360
19,consumed461
20,consumed470
21,consumed521
22,consumed601
23,consumed611
24,consumed620
25,consumed641
26,consumed671
27,consumed681
28,consumed701
29,consumed711
30,consumed731
31,consumed781
32,consumed801
33,consumed831
34,consumed901
35,consumed931
36,consumed1051
37,consumed1111
38,consumed1131
39,consumed1211
40,consumed1221
41,consumed1300
42,consumed1421
43,consumed1441
44,consumed1451
45,consumed1471
46,consumed1511
47,consumed1521
48,consumed1531
49,consumed13_141
50,consumed32_331
51,consumed41_421
52,consumed43_441
53,consumed74_750
54,consumed76_771
55,consumed100_1031
56,purchased2011
57,purchased2031
58,purchased2051
59,purchased2070
60,purchased2091
61,purchased2121
62,purchased2131
63,purchased2161
64,purchased2340
65,spent3021
66,spent3151
67,spent3281
68,spent3291
69,spent3301
70,spent3371
71,spent3381
72,spent3431
73,spent3441
74,spent3451
75,spent3461
76,spent3501
77,spent3561
78,spent301_3101
79,spent322_3251
80,asset3011
81,asset3021
82,asset3031
83,asset3051
84,asset3060
85,asset3111
86,asset3121
87,asset3180
88,asset3201
89,asset3211
90,asset3261
91,asset3301
92,hh_walls1
93,hh_roof1
93,hh_roof2
94,hh_floor1
94,hh_floor2
95,hh_cookstove1
96,hh_drinkrainy1
96,hh_drinkrainy2
97,hh_toilet1
97,hh_toilet2
98,hh_refuse1
99,ag_work0
100,ag_hold_plot0
101,ag_own_land0
102,ag_livestock0
103,po_grid1
104,po_elect1
104,po_elect2
105,wa_piped0
105,wa_piped1
