"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.790697674418605","0.794834087481146","0.883036935704514","0.964458525345622","0.97015625","0","0","0","0.0182342657342657","0.0328149920255183","100","full","poor_npl1"
"3","10","0.625862068965517","0.64696394686907","0.764557670772676","0.857308970099668","0.868924731182796","0","0","0.0134379509379509","0.0448100407055631","0.0461538461538462","100","full","poor_npl1"
"4","15","0.493895348837209","0.5","0.641941391941392","0.741981566820276","0.75","0","0","0.0289855072463768","0.0702380952380952","0.0757575757575758","100","full","poor_npl1"
"5","20","0.324504103967168","0.339683325086591","0.455844155844156","0.611507936507937","0.625","0.0165229885057471","0.0302584670231729","0.0775240384615385","0.13120781099325","0.138456937799043","100","full","poor_npl1"
"6","25","0.256445182724252","0.278530913216109","0.384615384615385","0.501086956521739","0.529600694444444","0.0281516775858646","0.0460464015151515","0.0983606557377049","0.159537510656436","0.173913043478261","100","full","poor_npl1"
"7","30","0.142857142857143","0.142857142857143","0.2396331738437","0.389814814814815","0.417684108527132","0.0572532130161334","0.0805191532258065","0.140625","0.203522853957637","0.218104619565217","100","full","poor_npl1"
"8","35","0.074953095684803","0.0846972176759411","0.175735294117647","0.302487080103359","0.315482954545454","0.115942028985507","0.119365039210726","0.203125","0.27872468659595","0.291643356643357","100","full","poor_npl1"
"9","40","0.0278554778554779","0.0332795698924731","0.114285714285714","0.189407149084568","0.197682926829268","0.168732193732194","0.189592703648176","0.291315136476427","0.369621689785624","0.40124140565317","100","full","poor_npl1"
"10","45","0","0","0.0800142247510669","0.138921188630491","0.152406931964056","0.236073200992556","0.257554112554113","0.350877192982456","0.430769230769231","0.445859974424552","100","full","poor_npl1"
"11","50","0","0","0.0294117647058824","0.111437908496732","0.125668764752164","0.333333333333333","0.34479932165065","0.452977594339623","0.550625","0.580063920454545","100","full","poor_npl1"
"12","55","0","0","0.0238230289279637","0.0647385984427141","0.0822635135135135","0.456386642707397","0.476109765940274","0.569098143236074","0.661862170087976","0.71356884057971","100","full","poor_npl1"
"13","60","0","0","0","0.042286036036036","0.0616003787878788","0.540300546448087","0.553690078037904","0.643951706524263","0.745681818181818","0.761513157894737","100","full","poor_npl1"
"14","65","0","0","0","0.03125","0.0317792338709677","0.62876121463078","0.63919523099851","0.723607427055703","0.807107843137255","0.833333333333333","100","full","poor_npl1"
"15","70","0","0","0","0","0.0240850225225225","0.710406403940887","0.716934544607501","0.81055900621118","0.883397435897436","0.889636075949367","100","full","poor_npl1"
"16","75","0","0","0","0","0","0.789529848437983","0.802501429388222","0.870266479663394","0.927400318979266","0.934933687002652","100","full","poor_npl1"
"17","80","0","0","0","0","0","0.856771752837327","0.86648401826484","0.91304347826087","0.969276693455798","0.974529373580006","100","full","poor_npl1"
"18","85","0","0","0","0","0","0.90788920056101","0.916607981220657","0.956521739130435","0.987662337662338","1","100","full","poor_npl1"
"19","90","0","0","0","0","0","0.935415040333073","0.940253279059249","0.981637466307278","1","1","100","full","poor_npl1"
"20","95","0","0","0","0","0","0.970832455216017","0.981113933236575","1","1","1","100","full","poor_npl1"
"21","5","0.800189393939394","0.816467296932279","0.8768177028451","0.929809117865085","0.94329170024174","0","0","0","0.0157870762022516","0.0168814983620567","200","full","poor_npl1"
"22","10","0.656860017123288","0.671190476190476","0.755427558706247","0.82296104686549","0.831081946222791","0","0","0.0152680652680653","0.0331290966087204","0.0356301307388264","200","full","poor_npl1"
"23","15","0.519821428571429","0.53701026119403","0.629171057253249","0.714600840336134","0.725423387096774","0","0.00756734006734007","0.0296296296296296","0.0539097516656572","0.0613839285714285","200","full","poor_npl1"
"24","20","0.328125","0.345761904761905","0.441650458460684","0.537830882352941","0.55474358974359","0.0276564567971261","0.038715644820296","0.0725222066386162","0.112279470729751","0.120564565296915","200","full","poor_npl1"
"25","25","0.292505411255411","0.301213650564768","0.375811688311688","0.477382478632479","0.496230158730159","0.0455989583333333","0.0487608182533438","0.0923076923076923","0.138027489751628","0.152461240310077","200","full","poor_npl1"
"26","30","0.168160377358491","0.179932165065008","0.253521126760563","0.342733770101251","0.356659679878049","0.0793220766129032","0.0892696944210821","0.141732283464567","0.191795563549161","0.197682926829268","200","full","poor_npl1"
"27","35","0.111707589285714","0.118892339544513","0.184615384615385","0.267923982249662","0.277849936948298","0.130701442050917","0.142569124423963","0.199264705882353","0.250089928057554","0.265193798449612","200","full","poor_npl1"
"28","40","0.0495689655172414","0.0570254403131115","0.11189358372457","0.174121500893389","0.184093237704918","0.214285714285714","0.217054263565891","0.289072543617998","0.34453781512605","0.350229525299948","200","full","poor_npl1"
"29","45","0.016120218579235","0.0268894662257912","0.0728172499116296","0.123087460484721","0.126743462017435","0.285692864822045","0.292964404894327","0.360147058823529","0.414643179765131","0.4226","200","full","poor_npl1"
"30","50","0","0.0125","0.0408182154757497","0.0736990950226244","0.0814571365444101","0.370821746384872","0.382637392241379","0.457384987893462","0.52945632798574","0.550435323383085","200","full","poor_npl1"
